Place,Last,Team Name,Country / Level,Country Code,Confederation,Points
1,1,Real Madrid CF,Spain / 7,ESP,UEFA,403
2,2,Manchester City FC,England / 7,ENG,UEFA,368
3,3,Bayer 04 Leverkusen,Germany / 7,GER,UEFA,353
4,4,Atalanta Bergamasca,Italy / 7,ITA,UEFA,318
5,9,FC Barcelona,Spain / 7,ESP,UEFA,270
6,6,Club Atletico Madrid,Spain / 7,ESP,UEFA,266
7,5,BV Borussia 09 Dortmund,Germany / 7,GER,UEFA,264
8,6,FC Bayern Munich,Germany / 7,GER,UEFA,256
9,11,FC Internazionale Milano,Italy / 7,ITA,UEFA,254
10,10,Arsenal FC,England / 7,ENG,UEFA,253
11,12,Paris Saint-Germain FC,France / 6,FRA,UEFA,246
12,14,AS Roma,Italy / 7,ITA,UEFA,245
13,16,Liverpool FC,England / 7,ENG,UEFA,242
14,18,Al Ahly SC,Egypt / 5,EGY,CAF,239
15,13,Fortaleza EC,Brazil / 7,BRA,CONMEBOL,233,5
16,16,CR Flamengo,Brazil / 7,BRA,CONMEBOL,231
16,20,Botafogo FR,Brazil / 7,BRA,CONMEBOL,231
16,19,São Paulo FC,Brazil / 7,BRA,CONMEBOL,231
19,14,Fluminense FC,Brazil / 7,BRA,CONMEBOL,230
19,21,Sporting Lisbon,Portugal / 6,POR,UEFA,230
21,8,SE Palmeiras,Brazil / 7,BRA,CONMEBOL,229
22,28,Club Atlético Mineiro,Brazil / 7,BRA,CONMEBOL,223
23,23,AC Milan,Italy / 7,ITA,UEFA,222
24,22,Union Saint-Gilloise,Belgium / 6,BEL,UEFA,217
25,26,ACF Fiorentina,Italy / 7,ITA,UEFA,214
25,25,Fenerbahce SK,Turkey / 6,TUR,UEFA,214
27,41,CA River Plate,Argentina / 6,ARG,CONMEBOL,213
28,30,SL Benfica,Portugal / 6,POR,UEFA,209
29,51,AC Sparta Prague,Czech Republic / 5,CZE,UEFA,207
30,35,SS Lazio,Italy / 7,ITA,UEFA,206
31,24,Olympiakos CFP,Greece / 5,GRE,UEFA,205,5
32,31,RB Bragantino,Brazil / 7,BRA,CONMEBOL,199
33,33,PAOK Thessaloniki FC,Greece / 5,GRE,UEFA,198,5
34,36,FC Porto,Portugal / 6,POR,UEFA,196
35,27,Club Brugge KV,Belgium / 6,BEL,UEFA,195,5
36,46,GNK Dinamo Zagreb,Croatia / 5,CRO,UEFA,194
37,49,FC Viktoria Plzen,Czech Republic / 5,CZE,UEFA,192,5
38,37,Aston Villa FC,England / 7,ENG,UEFA,189,5
39,43,Club Athletico Paranaense,Brazil / 7,BRA,CONMEBOL,189
39,48,RB Leipzig,Germany / 7,GER,UEFA,189
41,64,Lille OSC,France / 6,FRA,UEFA,188
42,29,PSV Eindhoven,Netherlands / 6,NED,UEFA,187
42,58,Villarreal CF,Spain / 7,ESP,UEFA,187
44,40,CA Boca Juniors,Argentina / 6,ARG,CONMEBOL,186,5
45,42,Al Hilal FC,Saudi Arabia / 4,KSA,AFC,186
45,53,Club Libertad,Paraguay / 5,PAR,CONMEBOL,186
45,39,Olympique Marseille,France / 6,FRA,UEFA,186
45,45,Feyenoord Rotterdam,Netherlands / 6,NED,UEFA,186
45,49,Juventus FC,Italy / 7,ITA,UEFA,186
50,58,Independiente Medellín,Colombia / 6,COL,CONMEBOL,185
50,44,Real Sociedad,Spain / 7,ESP,UEFA,185
52,34,Qarabag FK,Azerbaijan / 4,AZE,UEFA,182,75
53,67,Cruzeiro EC,Brazil / 7,BRA,CONMEBOL,181
54,63,Maccabi Tel Aviv FC,Israel / 5,ISR,UEFA,179,5
55,65,Sporting Braga,Portugal / 6,POR,UEFA,177
56,52,CDP Junior,Colombia / 6,COL,CONMEBOL,175,5
57,32,Galatasaray SK,Turkey / 6,TUR,UEFA,174,5
58,82,Grêmio FB,Brazil / 7,BRA,CONMEBOL,173
59,60,Racing Club Avellaneda,Argentina / 6,ARG,CONMEBOL,172
60,55,West Ham United FC,England / 7,ENG,UEFA,171
61,79,SK Slavia Prague,Czech Republic / 5,CZE,UEFA,170,5
62,62,Athletic Bilbao,Spain / 7,ESP,UEFA,170
63,38,SC Internacional,Brazil / 7,BRA,CONMEBOL,169
63,61,Manchester United FC,England / 7,ENG,UEFA,169
63,69,KAA Gent,Belgium / 6,BEL,UEFA,169
66,76,PFC Ludogorets,Bulgaria / 4,BUL,UEFA,167,75
67,55,Rangers FC,Scotland / 5,SCO,UEFA,167,5
68,80,CA Peñarol,Uruguay / 4,URU,CONMEBOL,166
69,46,SC Corinthians,Brazil / 7,BRA,CONMEBOL,164
70,70,SSC Napoli,Italy / 7,ITA,UEFA,163
70,73,Brighton & Hove Albion FC,England / 7,ENG,UEFA,163
72,67,SC Freiburg,Germany / 7,GER,UEFA,162
73,81,Real Betis,Spain / 7,ESP,UEFA,161
74,74,CA Talleres Córdoba,Argentina / 6,ARG,CONMEBOL,159,5
75,66,Club Nacional,Uruguay / 4,URU,CONMEBOL,158,25
76,115,CSD Colo Colo,Chile / 4,CHI,CONMEBOL,156,25
77,113,LD Alajuelense,Costa Rica / 3,CRC,CONCACAF,154
78,71,Al Nassr FC,Saudi Arabia / 4,KSA,AFC,153,25
